ChangeId,FilesChanged,TotalLinesInserted,TotalLinesDeleted,LastRevisionId,HasExtension,OnlySource,OnlyDocumentation,ContainsSource
1,3,6,0,1,1,1,0,1
2,3,6,0,2,1,1,0,1
3,7,547,0,3,1,1,1,1
4,1,2,1,4,1,1,0,1
5,2,8,1,5,1,1,0,1
6,2,15,0,6,0,0,0,0
7,2,15,0,7,0,0,0,0
8,46,1473,1487,8,1,1,0,1
9,1,27,0,9,1,1,0,1
10,7,113,19,10,1,1,1,1
11,7,113,19,11,1,1,1,1
12,7,112,19,12,1,1,1,1
13,7,171,2,13,1,1,0,1
14,7,155,1,14,1,1,0,1
15,6,137,2,15,1,1,0,1
16,7,152,2,16,1,1,0,1
17,3,92,0,17,1,1,0,1
18,1,0,1,18,1,1,0,1
19,2,2,10,19,1,1,0,1
20,5,33,5,20,1,1,0,1
21,1,28,23,21,1,1,0,1
22,1,1,0,22,1,1,0,1
23,1,1,0,23,1,1,0,1
24,1,5,0,24,1,1,0,1
25,18,41,41,25,1,1,0,1
26,1,799,588,26,1,0,0,0
27,2,3,5,27,1,1,0,1
28,1,3,0,28,1,1,0,1
29,2,8,4,29,1,1,0,1
30,1,32,5,30,1,1,0,1
31,1,31,3,31,1,1,0,1
32,1,32,3,32,1,1,0,1
33,1,32,3,33,1,1,0,1
34,1,31,4,34,1,1,0,1
35,1,32,4,35,1,1,0,1
36,1,31,3,36,1,1,0,1
37,1,26,5,37,1,1,0,1
38,1,7,1,38,1,1,0,1
39,1,226,0,39,1,1,0,1
40,1,182,0,40,1,1,0,1
41,2,11,6,41,1,1,0,1
42,4,48,1,42,1,1,0,1
43,4,44,3,43,1,1,0,1
44,4,56,0,44,1,1,0,1
45,4,44,3,45,1,1,0,1
46,1,803,829,46,1,0,0,0
47,1,803,829,47,1,0,0,0
48,1,1,1,48,1,1,0,1
49,1,306,279,49,1,0,0,0
50,1,306,279,50,1,0,0,0
51,1,1002,452,51,1,0,0,0
52,1,1002,452,52,1,0,0,0
53,1,1002,452,53,1,0,0,0
54,12,34,82,54,1,1,0,1
55,12,34,82,55,1,1,0,1
56,12,34,82,56,1,1,0,1
57,1,1,1,57,1,1,0,1
58,4,14,16,58,1,1,0,1
59,3,79,12,59,1,1,0,1
60,1,4,1,60,1,1,0,1
61,1,3,0,61,1,1,0,1
62,1,3,0,62,1,1,0,1
63,2,12,16,63,1,1,0,1
64,2,12,16,64,1,1,0,1
65,1,1,2,65,1,1,0,1
66,1,1,2,66,1,1,0,1
67,42,134,96,67,1,1,0,1
68,4,2191,254,68,1,0,1,0
69,4,2117,180,69,1,0,1,0
70,6,280,0,70,1,1,0,1
71,6,300,0,71,1,1,0,1
72,2,109,114,72,1,1,0,1
73,2,109,114,73,1,1,0,1
74,2,167,176,74,1,1,0,1
75,4,96,184,75,1,1,0,1
76,3,46,0,76,1,1,0,1
77,3,55,0,77,1,1,0,1
78,2,11,0,78,1,1,0,1
79,2,6,0,79,1,1,0,1
80,19,1689,1,80,1,1,1,1
81,19,1689,1,81,1,1,1,1
82,18,1682,0,82,1,1,1,1
83,19,1517,1,83,1,1,1,1
84,18,1534,0,84,1,1,1,1
85,9,47,20,85,1,1,1,1
86,9,49,20,86,1,1,1,1
87,1,128,27,87,0,0,0,0
88,1,0,0,88,0,0,0,0
89,2,3,3,89,1,1,0,1
90,1,2,2,90,1,1,0,1
91,2,111,188,91,1,1,0,1
92,3,2,24,92,1,1,0,1
93,1,7,0,93,1,1,0,1
94,1,2,1,94,1,1,0,1
95,4,111,23,95,1,1,1,1
96,3,56,3,96,1,1,1,1
97,4,126,6,97,1,1,1,1
98,4,75,3,98,1,1,1,1
99,4,112,23,99,1,1,1,1
100,4,112,23,100,1,1,1,1
101,4,110,23,101,1,1,1,1
102,4,111,23,102,1,1,1,1
103,4,111,23,103,1,1,1,1
104,4,126,6,104,1,1,1,1
105,4,75,3,105,1,1,1,1
106,3,56,3,106,1,1,1,1
107,4,112,24,107,1,1,1,1
108,4,101,3,108,1,1,1,1
109,1,6,0,109,1,1,0,1
110,6,8,75,110,1,1,0,1
111,9,69,65,111,1,1,0,1
112,9,67,62,112,1,1,0,1
113,9,69,65,113,1,1,0,1
114,9,67,62,114,1,1,0,1
115,9,67,62,115,1,1,0,1
116,9,67,62,116,1,1,0,1
117,9,67,62,117,1,1,0,1
118,13,359,75,118,1,1,0,1
119,13,359,75,119,1,1,0,1
120,12,350,67,120,1,1,0,1
121,13,361,75,121,1,1,0,1
122,11,72,82,122,1,1,0,1
123,11,63,59,123,1,1,0,1
124,11,72,82,124,1,1,0,1
125,11,72,82,125,1,1,0,1
126,2,39,40,126,1,1,0,1
127,2,39,40,127,1,1,0,1
128,1,4,0,128,1,1,0,1
129,2,11,14,129,1,1,0,1
130,2,9,13,130,1,1,0,1
131,1,4,4,131,0,0,0,0
132,1,3,4,132,0,0,0,0
133,1,12,7,133,1,1,0,1
134,1,1,1,134,1,0,0,0
135,1,3,2,135,1,1,0,1
136,2,32,32,136,1,1,0,1
137,2,32,32,137,1,1,0,1
138,6,13,6,138,1,1,0,1
139,6,11,6,139,1,1,0,1
140,5,10,6,140,1,1,0,1
141,1,3,1,141,1,1,0,1
142,1,3,1,142,1,1,0,1
143,2,19,0,143,1,1,1,1
144,2,19,0,144,1,1,1,1
145,14,1191,23,145,1,1,0,1
146,15,1197,23,146,1,1,0,1
147,19,668,389,147,1,1,0,1
148,19,670,391,148,1,1,0,1
149,19,668,389,149,1,1,0,1
150,14,1191,23,150,1,1,0,1
151,14,1191,23,151,1,1,0,1
152,14,1191,23,152,1,1,0,1
153,19,670,391,153,1,1,0,1
154,16,0,0,154,1,0,1,0
155,6,11,18,155,1,1,0,1
156,23,103,6,156,1,1,0,1
157,23,101,3,157,1,1,0,1
158,23,103,6,158,1,1,0,1
159,1,27,8,159,1,1,0,1
161,1,3,1,161,1,1,0,1
162,1,3,1,162,1,1,0,1
163,4,76,3,163,1,1,0,1
164,2,48,3,164,1,1,0,1
165,3,13,0,165,1,1,0,1
166,1,14,6,166,1,1,0,1
167,9,26,31,167,1,1,0,1
168,2,6,6,168,1,1,0,1
169,2,7,7,169,1,1,0,1
170,2,7,7,170,1,1,0,1
171,5,61,2,171,1,1,0,1
172,4,73,0,172,1,1,0,1
173,4,73,0,173,1,1,0,1
174,1,654,28,174,1,1,0,1
175,7,439,0,175,1,0,0,0
176,1,6,2,176,1,1,0,1
177,2,27,47,177,1,1,0,1
178,3,43,41,178,1,1,0,1
179,3,43,40,179,1,1,0,1
180,1,24,0,180,1,1,0,1
181,2,18,10,181,1,1,0,1
182,1,20,0,182,1,1,0,1
183,2,4,1,183,0,0,0,0
184,2,4,1,184,0,0,0,0
185,2,76,2,185,1,1,0,1
186,2,61,1,186,1,1,0,1
187,2,57,1,187,1,1,0,1
188,3,80,3,188,1,1,0,1
189,2,76,2,189,1,1,0,1
190,2,79,2,190,1,1,0,1
191,3,78,2,191,1,1,0,1
192,2,63,2,192,1,1,0,1
193,3,80,3,193,1,1,0,1
194,3,84,3,194,1,1,0,1
195,9,156,86,195,1,1,0,1
196,7,114,84,196,1,1,0,1
197,7,114,84,197,1,1,0,1
198,7,114,84,198,1,1,0,1
199,7,118,85,199,1,1,0,1
200,1,14,0,200,1,1,0,1
201,1,1,1,201,0,0,0,0
