Day,Created,weeknumber,day_of_week
Thu,278,03,4
Fri,136,46,5
Sat,84,46,6
Sun,133,46,0
Mon,151,47,1
Tue,170,47,2
Wed,147,47,3
Thu,159,47,4
Fri,146,47,5
Sat,125,47,6
Sun,121,47,0
Mon,96,48,1
Tue,116,48,2
Wed,190,48,3
Thu,120,48,4
Fri,156,48,5
Sat,85,48,6
Sun,164,48,0
Mon,162,49,1
Tue,123,49,2
Wed,138,49,3
Thu,160,49,4
Fri,169,49,5
Sat,113,49,6
Sun,95,49,0
Mon,155,50,1
Tue,125,50,2
Wed,266,50,3
Thu,206,50,4
Fri,153,50,5
Sat,120,50,6
Sun,80,50,0
Mon,121,51,1
Tue,134,51,2
Wed,153,51,3
Thu,121,51,4
Fri,194,51,5
Sat,109,51,6
Sun,111,51,0
Mon,145,52,1
Tue,194,52,2
Wed,116,52,3
Thu,102,52,4
Fri,94,52,5
Sat,111,52,6
Sun,87,52,0
Mon,108,53,1
Tue,75,53,2
Wed,46,53,3
Thu,50,53,4
Fri,21,00,5
Sat,40,00,6
Sun,53,00,0
Mon,79,01,1
Tue,84,01,2
Wed,118,01,3
Thu,192,01,4
Fri,120,01,5
Sat,115,01,6
Sun,101,01,0
Mon,197,02,1
Tue,218,02,2
Wed,306,02,3
Thu,143,02,4
Fri,236,02,5
Sat,195,02,6
Sun,121,02,0
Mon,281,03,1
Tue,234,03,2
Wed,205,03,3
Fri,240,03,5
Sat,157,03,6
Sun,154,03,0
Mon,221,04,1
Tue,241,04,2
Wed,229,04,3
Thu,235,04,4
Fri,203,04,5
Sat,193,04,6
Sun,136,04,0
Mon,293,05,1
Tue,231,05,2
Wed,209,05,3
Thu,220,05,4
Fri,184,05,5
Sat,101,05,6
Sun,154,05,0
Mon,302,06,1
Tue,249,06,2
Wed,171,06,3
Thu,181,06,4
Fri,226,06,5
Sat,132,06,6
Sun,147,06,0
Mon,225,07,1
Tue,172,07,2
Wed,181,07,3
Thu,189,07,4
Fri,223,07,5
Sat,117,07,6
Sun,124,07,0
Mon,219,08,1
Tue,269,08,2
Wed,220,08,3
Thu,169,08,4
Fri,169,08,5
Sat,164,08,6
Sun,116,08,0
Mon,255,09,1
Tue,548,09,2
Wed,185,09,3
Thu,255,09,4
Fri,247,09,5
Sat,164,09,6
Sun,185,09,0
Mon,257,10,1
Tue,231,10,2
Wed,229,10,3
Thu,202,10,4
Fri,212,10,5
Sat,136,10,6
Sun,141,10,0
Mon,132,11,1
Tue,201,11,2
Wed,214,11,3
Thu,185,11,4
Fri,238,11,5
Sat,135,11,6
Sun,138,11,0
Mon,137,12,1
Tue,191,12,2
Wed,176,12,3
Thu,180,12,4
Fri,164,12,5
Sat,180,12,6
Sun,177,12,0
Mon,158,13,1
Tue,210,13,2
Wed,211,13,3
Thu,192,13,4
Fri,146,13,5
Sat,104,13,6
Sun,140,13,0
Mon,217,14,1
Tue,128,14,2
Wed,149,14,3
Thu,162,14,4
Fri,186,14,5
Sat,148,14,6
Sun,171,14,0
Mon,160,15,1
Tue,239,15,2
Wed,211,15,3
Thu,173,15,4
Fri,152,15,5
